group_id,sqrt_s_GeV,cos_lo,cos_hi,sm_pred_pb,n_events,n_total,sigma_tot_nb,evn_line,cos_sign,model
0,202.0,-0.9,-0.72,18.28209598166666,762,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,-0.72,-0.54,18.689964264722228,779,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,-0.54,-0.36,21.641011253888884,902,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,-0.36,-0.18,26.247523627222225,1094,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,-0.18,0.0,37.04403700222223,1544,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.0,0.09,53.83861336333334,1122,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.09,0.18,66.12264635888889,1378,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.18,0.27,91.36249540444442,1904,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.27,0.36,125.3835086616667,2613,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.36,0.45,182.24514576999997,3798,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.45,0.54,267.4656246766665,5574,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.54,0.63,460.0754232866669,9588,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.63,0.72,848.1740907400003,17676,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.72,0.81,1840.3496776505535,38353,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
0,202.0,0.81,0.9,5418.074287606112,112913,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,205.0,-0.9,-0.72,74.09419919999998,729,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,-0.72,-0.54,71.75652213333336,706,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,-0.54,-0.36,94.0152733333333,925,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,-0.36,-0.18,114.0379856,1122,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,-0.18,0.0,158.14893546666667,1556,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.0,0.09,213.23680373333332,1049,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.09,0.18,277.472104,1365,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.18,0.27,370.9791866666665,1825,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.27,0.36,502.9054837333336,2474,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.36,0.45,741.5518207999997,3648,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.45,0.54,1190.5890938666664,5857,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.54,0.63,1903.2756848000008,9363,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.63,0.72,3587.013001600001,17646,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.72,0.81,7834.064041066659,38539,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
1,205.0,0.81,0.9,23010.060281600006,113196,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,207.0,-0.9,-0.72,61.24858127777775,731,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,-0.72,-0.54,61.332368666666696,732,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,-0.54,-0.36,74.40320133333331,888,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,-0.36,-0.18,98.1988197777778,1172,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,-0.18,0.0,127.94334283333336,1527,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.0,0.09,182.48893300000003,1089,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.09,0.18,221.36628144444447,1321,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.18,0.27,295.43433322222216,1763,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.27,0.36,436.5322961111113,2605,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.36,0.45,612.4858127777776,3655,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.45,0.54,967.9119164444442,5776,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.54,0.63,1638.3786023333337,9777,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.63,0.72,2942.277948222224,17558,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.72,0.81,6446.098976777773,38467,200000,3.016346,0,1,BHAGEN-1PH_unweighted
2,207.0,0.81,0.9,18925.72782744445,112939,200000,3.016346,0,1,BHAGEN-1PH_unweighted
