setting,scan,tic,g,drift_obs_ppm,drift_state_ppm,residual_ppm,width_obs_ppm
ModeA_points,0,2880645.6178457737,0.002943233218912531,-9.032473327106523,-9.032473327106523,0.0,17.33517359546758
ModeA_points,1,2596175.3161836863,0.0,-7.688683707316111,-8.6293364411694,0.9406527338532893,0.0
ModeA_points,2,2855348.542347729,0.0023756877104419405,-8.74023510840197,-8.66260604133917,-0.0776290670627997,0.0
ModeA_points,3,2803975.8152570873,0.0012231291658610444,-9.228445970905678,-8.832358020209123,-0.3960879506965558,0.0
ModeA_points,4,2620419.252092123,0.0,-8.295492205920667,-8.671298275922586,0.3758060700019197,0.0
ModeA_points,5,2662311.3936886117,0.0,-8.714068659769348,-8.684129391076615,-0.029939268692732668,0.0
ModeA_points,6,2633620.5623630285,0.0,-9.091362567507979,-8.806299344006025,-0.2850632235019539,0.0
ModeA_points,7,2461958.867040634,0.0,-8.407436816184362,-8.686640585659525,0.27920376947516345,4.263738230466428
ModeA_points,8,2598727.669583082,0.0,-9.237822313251955,-8.851995103937254,-0.3858272093147015,5.354245348805737
ModeA_points,9,2597908.6184910536,0.0,-7.562347522022745,-8.465100829362902,0.9027533073401566,0.0
ModeA_points,10,2597260.69211947,0.0,-8.551843108569187,-8.491123513124787,-0.0607195954444002,0.0
ModeA_points,11,2687603.271432996,0.0,-9.525650307496031,-8.80148155143616,-0.7241687560598713,0.0
ModeA_points,12,3277072.677307129,0.011837162363049684,-8.750741705616326,-8.78625959769021,0.03551789207388367,0.0
ModeA_points,13,4893106.5135650635,0.048093240476726785,-4.947468324326619,-7.634622215681132,2.687153891354513,0.0
ModeA_points,14,8071211.216674805,0.11939472549773734,-11.851744453775058,-8.89975888710931,-2.9519855666657477,0.0
ModeA_points,15,7421335.147323608,0.10481461151375905,-12.416382425599107,-9.95474594865625,-2.461636476942857,0.0
ModeA_points,16,7683311.632339478,0.11069211215240651,-9.507380072737647,-9.820536185880668,0.3131561131430214,0.08566297626632924
ModeA_points,17,4852418.952041626,0.047180405995324665,-10.647183687074374,-10.06853043623878,-0.578653250835595,0.0
ModeA_points,18,4074183.148300171,0.02972051285555815,-9.689066696076951,-9.954691314190232,0.2656246181132804,0.0
ModeA_points,19,3647910.180616379,0.020156984130268663,-9.666531248931031,-9.868243294612471,0.20171204568143963,0.0
ModeA_points,20,3751116.3504579663,0.022472437477616018,-10.444322315382069,-10.04106700084335,-0.4032553145387183,0.0
ModeA_points,21,5334630.48274231,0.05799892880848767,-10.599121159207236,-10.208483248352517,-0.39063791085471955,0.0
ModeA_points,22,4451947.91658783,0.03819574935143956,-10.496931778423276,-10.295017807373744,-0.20191397104953168,0.0
ModeA_points,23,4817764.550613403,0.04640292680090771,-11.02018817797373,-10.51256891855374,-0.5076192594199895,0.0
ModeA_points,24,3899220.691390991,0.02579519126739828,-9.751851466491447,-10.284353682935052,0.5325022164436053,0.0
